iter	RMSE
222	9.427257959
223	9.42671852
224	9.426093954
225	9.42381618
226	9.421663431
227	9.41975647
228	9.417804419
229	9.41515328
230	9.412027578
231	9.41006204
232	9.407913838
233	9.405871503
234	9.4036574
235	9.400693419
236	9.397022889
237	9.394990797
238	9.391864315
239	9.388004681
240	9.385249875
241	9.383159208
242	9.380713446
243	9.378259436
244	9.375984903
245	9.374453259
246	9.372088304
247	9.369281711
248	9.365882093
249	9.364152103
250	9.361775484
251	9.359770672
252	9.357500288
253	9.353948765
254	9.351877119
255	9.349735015
256	9.346400296
257	9.343545262
258	9.342252952
259	9.340087614
260	9.338700125
261	9.336416996
262	9.334486309
263	9.331571294
264	9.329077752
265	9.325779693
266	9.322262899
267	9.319733713
268	9.317440304
269	9.314695357
270	9.312380287
271	9.309614204
272	9.306545935
273	9.30394632
274	9.30144515
275	9.299390442
276	9.297131824
277	9.295073546
278	9.292943728
279	9.291086028
280	9.28954487
281	9.288099963
282	9.285975591
283	9.284164932
284	9.282696864
285	9.279595521
286	9.277445487
287	9.275408422
288	9.272581935
289	9.270171518
290	9.267268953
291	9.265040792
292	9.262330625
293	9.25975557
294	9.258402785
295	9.255543085
296	9.253657662
297	9.251366744
298	9.2492567
299	9.247177511
300	9.245202747
301	9.242503429
302	9.239153352
303	9.236560543
304	9.234752183
305	9.23304295
306	9.231188653
307	9.228863395
308	9.227440773
309	9.224508023
310	9.220546029
311	9.218685306
312	9.217038973
313	9.215521024
314	9.213529061
315	9.211717047
316	9.209136341
317	9.207527682
318	9.207300304
319	9.206105333
320	9.204129915
321	9.201756289
322	9.199039094
323	9.197427274
324	9.195986533
325	9.194049085
326	9.191438223
327	9.189347168
328	9.187383
329	9.185104537
330	9.182435843
331	9.178075133
332	9.176807402
333	9.173921333
334	9.171969524
335	9.170142867
336	9.168348623
337	9.168129455
338	9.165934819
339	9.163075945
340	9.161213466
341	9.157339921
342	9.155507677
343	9.153620886
344	9.151615384
345	9.149453665
346	9.14743596
347	9.144174033
348	9.141788263
349	9.14067629
350	9.138620625
351	9.136879508
352	9.134486576
353	9.132070705
354	9.12908061
355	9.125758408
356	9.124460271
357	9.121862595
358	9.119813133
359	9.117895231
360	9.117300852
361	9.114731137
362	9.112752292
363	9.11118876
364	9.107102131
365	9.105851235
366	9.104682648
367	9.102323377
368	9.10007915
369	9.098168537
370	9.097312124
371	9.094001013
372	9.092713851
373	9.090318378
374	9.08848681
375	9.086525117
376	9.084497634
377	9.082423046
378	9.080214808
379	9.078129015
380	9.077593364
381	9.075721321
382	9.073473887
383	9.071966348
384	9.069796637
385	9.068446341
386	9.066313945
387	9.063333159
388	9.06082672
389	9.057636924
390	9.054404531
391	9.053232283
392	9.051429236
393	9.050616518
394	9.047590371
395	9.046278016
396	9.044617808
397	9.042828767
398	9.040156565
399	9.038436098
